software,reference,group,score,scoreN,score1,score1N,score2,score2N,score3,score3N,score4,score4N,score5,score5N,1_2_3,1_3_1,1_3,1_5_1,1_5_2,1_6_1,1_6_2,2_1,2_2,2_3,2_4,3_1_1,3_1_2,3_1_3,3_1_4,3_1_5_1,3_1_5_2,3_1_5_3,3_1_5_4,3_2_1,3_2_2,3_2_3,3_2_4,4_1,4_2,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,5_1,5_2_1,5_2_2,5_2_3,5_2_4,5_3_1,5_3_2,5_3_3,5_4_1,5_4_2,description,link
ESPECIFICAÇÃO PROPOSTA,0,CW,40,100,7,17.5,4,10,12,30,7,17.5,10,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,
CRYSTALWALK,0,CW,38,95,7,17.5,4,10,12,30,5,12.5,10,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,
CRYSTALMAKER,6,T,21,52.5,2,5,2,5,8,20,4,10,5,12.5,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,"CrystalMaker is an efficient and user-friendly way to visualise crystal and molecular structures.  It features:* A powerful 3D graphics engine that delivers photorealistic output: ideal for textbooks and journals.* A wide variety of import and export formats, including Collada3D, CIF, XYZ and DL_POLY.* Simulation of X-ray and neutron diffraction patterns.* Full lattice and symmetry support with a space-groups browser and symmetry editor.",http://www.iucr.org/resources/other-directories/software/crystalmaker
JMOL,12,T,19,47.5,3,7.5,2,5,7,17.5,3,7.5,4,10,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,"Jmol is a free, open source molecule viewer for students, educators, and researchers in chemistry and biochemistry. It is cross-platform, running on Windows, Mac OS X, and Linux/Unix systems. The JmolApplet is a web browser applet that can be integrated into web pages. The Jmol application is a standalone Java application that runs on the desktop. The JmolViewer is a development tool kit that can be integrated into other Java applications.",http://www.iucr.org/resources/other-directories/software/jmol
VESTA 3,24,T,16,40,1,2.5,2,5,8,20,2,5,3,7.5,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"VESTA is a three-dimensional visualization system for crystallographic studies and electronic state calculations. It has been upgraded to the latest version, VESTA 3, implementing new features including drawing the external morphology of crystals; superimposing multiple structural models, volumetric data and crystal faces; calculation of electron and nuclear densities from structure parameters; calculation of Patterson functions from structure parameters or volumetric data; integration of electron and nuclear densities by Voronoi tessellation; visualization of isosurfaces with multiple levels; determination of the best plane for selected atoms; an extended bond-search algorithm to enable more sophisticated searches in complex molecules and cage-like structures; undo and redo in graphical user interface operations; and significant performance improvements in rendering isosurfaces and calculating slices.",http://www.iucr.org/resources/other-directories/software/vesta-3
DIAMOND,7,T,15,37.5,1,2.5,1,2.5,7,17.5,2,5,4,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,Visual crystal structure information system for molecular and solid state chemists as well as for surface and material scientists.,http://www.iucr.org/resources/other-directories/software/diamond
XCRYSDEN,25,T,15,37.5,2,5,2,5,6,15,2,5,3,7.5,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"XCrySDen is a crystalline and molecular structure visualisation program aiming at display of isosurfaces and contours, which can be superimposed on crystalline structures and interactively rotated and manipulated. It runs on GNU/Linux.",http://www.iucr.org/resources/other-directories/software/xcrysden
MERCURY,13,T,13,32.5,1,2.5,1,2.5,5,12.5,2,5,4,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,"Mercury offers a comprehensive range of tools for 3D structure visualization and the exploration of crystal packing. With a long pedigree and over 10,000 downloads, Mercury is firmly established as the visualiser of choice within the crystallographic community. With a vast number of options for customizing display settings Mercury is widely used for the generation of publication-quality images. A Style Manager contains a number of pre-defined display styles for work, publication and presentation and also provides the ability to preserve and share your own custom display settings. Stunning 3D images created using Mercury can be exported in a variety of common formats. In addition, it is possible to render high quality ray-traced images using POV-Ray.","http://www.iucr.org/resources/other-directories/software/mercury-crystal-structure-visualisation,-exploration-and-analysis-made-easy-"
PYMOL,18,T,12,30,1,2.5,1,2.5,5,12.5,3,7.5,2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"PyMOL is a user-sponsored molecular visualization system on an open-source foundation. Please support development of this open, effective, and affordable software by purchasing an incentive copy, which is pre-built and comes with maintenance and support.",http://www.iucr.org/resources/other-directories/software/pymol
DRAWXTL,8,T,11,27.5,2,5,1,2.5,5,12.5,1,2.5,2,5,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Display of crystal structures (ball-and-stick, polyhedra, thermal ellipsoids). Can import data in Shelx, Gsas, Cif and CSD fdat format. Produces output files in the Virtual Reality Modelling Language (VRML) or Persistence of Vision (POV-RAY) ray-tracing formats. The VRML format can be viewed locally or across the Internet, and the viewer can rotate and/or zoom the drawing in real time. Beginning with V2.4, the user can generate either VRML V1.0 or VRML97 (V2.0) format. In the latter form, it is possible to animate drawings as shown in the 'wrl' files included in the distribution.",http://www.iucr.org/resources/other-directories/software/drawxtl
